system:index,area,class,territory,year,.geo
0_3_10,224.60663683471682,20,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_11,778851.5779624472,21,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_12,1059.717851275638,23,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_13,12317.948336578349,24,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_14,66354.46684726559,25,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_15,31337.29559223616,29,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_16,4408.32739627077,30,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_17,6.388734027099614,32,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_18,154266.1520898497,33,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_19,37.40893645019528,35,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_20,8690.898393609608,39,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_21,58.92565957031248,40,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_22,26952.468658441114,41,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_23,245.98510335693337,46,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_24,120.53842562866265,47,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_25,93.66514094238286,48,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_26,284.1688487792971,49,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_27,5472.793691192794,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,4.038600702544637E7,3,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,936310.9328022412,4,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,216.51778752441373,5,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,7026130.9681106685,6,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,3715.002370605467,7,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,30.381400598144545,9,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,490902.2930591413,11,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,212768.4644833734,12,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,60315.248893506425,15,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_9,312.30566551513664,20,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_10,84002.62912839353,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_11,1084.9920122619606,24,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_12,4007.3156482666072,25,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_13,23248.02120202024,29,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_14,2466.030343725609,30,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_15,0.4468838012695312,31,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_16,324474.414879302,33,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_17,13.035676190185553,35,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_18,261.8081700073242,39,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_19,2115.355662017823,41,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_20,0.3244095458984375,46,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_21,0.7297643859863282,48,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,597804.9352046483,3,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,357581.5277562272,4,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,71.00505912475568,5,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,69287.91843279995,6,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,1892.2026629577626,9,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,27002.13703542389,11,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,19081.11996179166,12,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,649.6272922851637,13,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_8,48843.88947861276,15,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_9,4.83830376586914,20,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_10,21897.569810498084,21,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_11,1266.8610043396113,23,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_12,78.09734963378902,24,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_13,1192.7001991760271,25,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_14,17022.730270654443,29,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_15,56.04834161376945,30,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_16,39.497372857665844,32,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_17,14641.599651830958,33,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_18,2.501108520507813,35,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_19,931.44475665283,39,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_20,2.70268352661133,40,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_21,1518.9763935485846,41,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_22,42.20550807495114,46,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_23,11.385088220214842,47,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_24,355.93990733032194,48,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_25,719.7731981811526,49,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_26,221.78034592895511,50,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,150104.98212822436,3,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,139552.34934682955,4,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,11339.421026855609,5,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,43914.01747013514,6,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,4357.745801361133,9,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,31909.724632520385,11,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,3651.380059307862,12,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_7,41.59264979248053,13,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_8,41889.32485911272,15,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_9,706.6615716308613,20,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_10,21291.333047302287,21,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_11,346.94346384887746,23,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_12,58.52018552856443,24,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_13,493.97657241821304,25,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_14,973.1378056457653,29,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_15,1.7873281249999997,30,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_16,3.956944409179688,31,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_17,611.7943859924343,32,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_18,5350.130752624509,33,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_19,3.5731112854003886,35,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_20,111.31705883178688,39,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_21,0.5447684509277343,40,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_22,538.126962677002,41,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_23,35.05781573486328,46,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_24,202.75796734619138,48,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_25,2382.513341259793,49,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_26,3718.5712413573315,50,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,9.769850299143724E7,3,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,7.285403933097243E7,4,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,67043.16744160862,5,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,4431124.747765573,6,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,908385.1005873715,7,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,1424674.3564555815,9,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,9060266.98436941,11,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_7,1.4338940998212196E7,12,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_8,64905.75833999707,13,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_9,5.2474952482825324E7,15,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_10,1488979.2594681534,20,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_11,1.0421050806683956E7,21,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_12,152893.22694587553,23,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_13,16247.402297607443,24,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_14,496521.61685050983,25,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_15,530097.5691356952,29,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_16,21915.428923016454,30,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_17,4217.96243215942,31,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_18,9262.263643450931,32,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_19,3324791.4004786685,33,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_20,5098.167958666947,35,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_21,2423244.284267836,39,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_22,213926.3513003578,40,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_23,5040599.254685918,41,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_24,123418.99768809207,46,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_25,69712.73149821127,47,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_26,41420.182024487294,48,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_27,122587.3626203681,49,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_28,193254.20230253934,50,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_29,1019.4419278869626,84,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,1.7614055515002068E7,3,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,5605339.317383257,4,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,6441.437034264817,5,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,824882.8406015413,6,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,804.5704873046911,7,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_5,16355.170541711494,9,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_6,444762.1614715109,11,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_7,503821.66926845914,12,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_8,16481.815282837037,13,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_9,1996522.3655200186,15,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_10,24873.44587919303,20,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_11,873126.3101584758,21,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_12,4184.321505419949,23,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_13,2627.7459772399907,24,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_14,36247.101150152565,25,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_15,25629.344966900717,29,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_16,3430.989525396732,30,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_17,783.3425326171831,32,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_18,61899.71135762932,33,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_19,3674.6142697266523,35,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_20,29885.359884576184,39,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_21,1864.17509820556,40,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_22,62022.523194860616,41,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_23,1749.16818065796,46,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_24,378.2818027832019,47,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_25,3082.110834179696,48,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_26,534.3541816101084,49,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_27,49448.32755968518,50,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,7369598.8481743485,3,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,81090.40155778565,4,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,10196.014773168685,5,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,2100410.174823481,6,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,3634.1824782042686,9,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,240137.06573152446,11,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,30935.99175645137,12,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,39033.438315658226,15,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_8,722.8440268920942,20,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_9,34152.589628234855,21,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_10,29.992710333252134,23,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_11,249.31244770507817,24,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_12,4197.822903527827,25,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_13,5703.27222939447,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_14,17.62976533203124,30,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_15,175061.7376210987,33,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_16,64.25057098388669,35,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_17,1.305127850341797,39,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_18,117.87609084472655,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_19,3.307608599853516,47,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_20,118.40044355468655,49,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_21,188.9321936035173,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,4.079825197143392E7,3,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,196013.55772324878,4,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_2,350042.28572677606,5,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_3,6000129.64475572,6,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
